group	n_subj	prepost	eta_DMN	eta_Vis	eta_LCN	eta_BF	eta_HPF	eta_Th	g	tag
ACA	3	pre	-3.979586484480877	-5.003959577910754	-3.5958384299764825	-3.7549672710652255	-3.856755256652832	-3.6399517935149523	0.4663131151880537	38
ACA	3	post	-3.8605916013523025	-4.9530874855664315	-3.563551873576884	-3.704082605790119	-3.755224948026696	-3.6710419022307104	0.47775016268905324	38
ACA	3	pre	-4.528470000442193	-4.776837514371288	-3.6223932091070683	-3.806040126450208	-4.364886410382329	-4.0072004162535375	0.5880977979728154	39
ACA	3	post	-4.113632314059199	-4.776536318720604	-3.585880858557565	-3.7041966282591527	-3.8540921211242676	-3.6532140945901674	0.44863540055800455	39
ACA	3	pre	-4.382457592049423	-4.979757085138438	-3.5757988472374116	-3.8061185661627324	-4.179889917373657	-3.806067418078987	0.544330426624843	40
ACA	3	post	-4.155707933464829	-4.72616551846874	-3.652147419598638	-3.7551309137928244	-3.908321064345691	-3.805126594037426	0.46598995948324395	40
ACA	3	pre	-4.168815603061598	-4.878284308375145	-3.570345606122698	-3.7040924052802886	-3.9580918720790317	-3.701941743188975	0.4896326782752056	41
ACA	3	post	-3.999523128782	-4.879206287617587	-3.6170058153113542	-3.704095796662934	-3.908164710414653	-3.652366287854253	0.4526166064398629	41
ACA	3	pre	-4.040859037516069	-4.878863762836067	-3.585221850142187	-3.7551671339541066	-3.8563220841544017	-3.6419473764847736	0.4818796551957423	42
ACA	3	post	-3.8622577530997138	-5.0184614317757745	-3.5649715297076168	-3.7039890532590904	-3.8571727616446356	-3.6440843465376873	0.4686325910140057	42
ACA	3	pre	-4.532522571330167	-4.6730779239109586	-3.6221597437955895	-3.7550916477125518	-4.36453576963775	-4.008060328814448	0.5594417580536434	43
ACA	3	post	-3.9282212549326374	-4.928738151277814	-3.589471466687261	-3.7551041038668886	-3.806143823935061	-3.650147574288505	0.4385048722734257	43
ACA	3	pre	-4.040203464274503	-4.8997911531098035	-3.581331360096834	-3.7551196837911798	-3.805598161658462	-3.6478180106805294	0.4766729060484438	44
ACA	3	post	-3.995256910518724	-4.929246323449271	-3.6130151651343523	-3.7040974509959317	-3.9082032661048736	-3.6468107165122516	0.47214537372394483	44
ACA	3	pre	-4.447200210726991	-4.928722279412406	-3.6170269907737262	-3.754984271769621	-4.24880203422235	-3.9064743372858786	0.5406084912163871	45
ACA	3	post	-4.128579227291808	-4.882850608047174	-3.591706777105526	-3.7042498637218864	-3.8052577777784697	-3.702474598981896	0.4796629803521293	45
ACA	3	pre	-4.113282174480204	-4.966914245060512	-3.5816562029780172	-3.704278746429755	-3.9591486210725746	-3.690372102114619	0.4984101908547538	46
