	eta_DMN	group	n_subj	prepost
279	-4.00064247481677	RSC	8	post
280	-4.360999379839216	RSC	8	pre
281	-3.94106235309523	RSC	8	post
282	-4.280574925091802	RSC	8	pre
283	-3.8950401325615083	RSC	8	post
284	-4.191256396624507	RSC	8	pre
285	-3.8633473941258023	RSC	8	post
286	-4.400108736388537	RSC	8	pre
287	-3.937443480199697	RSC	8	post
288	-4.164396286010742	RSC	8	pre
289	-3.9325006738000985	RSC	8	post
290	-4.3726934024265836	RSC	8	pre
291	-3.9989142612535127	RSC	8	post
292	-4.090819193392384	RSC	8	pre
293	-3.8566036954218026	RSC	8	post
294	-4.294388639683627	RSC	8	pre
295	-3.902025334689082	RSC	8	post
296	-4.382831120977596	RSC	8	pre
297	-3.978556053979056	RSC	8	post
298	-4.121669730361627	RSC	8	pre
299	-3.9172672057638365	RSC	8	post
300	-4.344785184276347	RSC	8	pre
301	-4.049380521385038	RSC	8	post
302	-4.32594515352833	RSC	8	pre
303	-3.9948740005493164	RSC	8	post
304	-4.278965200696673	RSC	8	pre
305	-3.9669825592819525	RSC	8	post
306	-4.21644740201989	RSC	8	pre
307	-3.8952590202798647	RSC	8	post
308	-4.359072334912359	RSC	9	pre
309	-3.933639322008405	RSC	9	post
310	-4.33750429931952	RSC	9	pre
311	-3.9945925985063826	RSC	9	post
312	-4.371540755641703	RSC	9	pre
313	-3.9672184185105928	RSC	9	post
314	-4.264572231137023	RSC	9	pre
315	-3.936236960547311	RSC	9	post
316	-4.299367768423898	RSC	9	pre
317	-3.987473555973598	RSC	9	post
318	-4.290170328957694	RSC	9	pre
319	-3.9362873544498367	RSC	9	post
320	-3.972466079556212	RSC	9	pre
321	-3.895103182111468	RSC	9	post
322	-4.159952261009995	RSC	9	pre
323	-3.9156835079193115	RSC	9	post
324	-4.343152046203613	RSC	9	pre
325	-3.8772751506494014	RSC	9	post
326	-4.066607723430711	RSC	9	pre
327	-3.8964365550449918	RSC	9	post
328	-4.263008239317913	RSC	9	pre
329	-3.87531684369457	RSC	9	post
330	-4.375251361301967	RSC	9	pre
331	-3.97722373689924	RSC	9	post
332	-4.157810070076767	RSC	9	pre
333	-3.8255271425052566	RSC	9	post
334	-4.324160099029541	RSC	9	pre
335	-3.9121587033174476	RSC	9	post
336	-4.143316784683539	RSC	9	pre
337	-3.8566294592254016	RSC	9	post
338	-4.282356125967843	RSC	9	pre
339	-3.965280600956508	RSC	9	post
340	-4.258139474051339	RSC	9	pre
341	-3.92176984280956	RSC	9	post
342	-4.374420905599789	RSC	9	pre
343	-3.941677142162712	RSC	9	post
344	-4.412892760062705	RSC	9	pre
345	-4.004028505208541	RSC	9	post
