group,subject_id,ensemble,g,eta1,eta2,eta3,eta4,eta5,eta6
RSC,1,54,0.74532783,-3.7803457,-4.933977,-4.221545,-4.6333103,-4.780095,-5.571645
RSC,1,55,0.68111414,-4.1819167,-4.754981,-4.8743434,-4.132301,-4.72265,-5.05439
RSC,1,56,0.68747807,-4.3504558,-5.297941,-5.017274,-5.1065803,-4.444729,-4.8634934
RSC,1,57,0.6225918,-4.147783,-5.4462857,-4.513383,-3.860484,-5.7974687,-3.8111215
RSC,1,58,0.59063745,-3.9125774,-5.090307,-5.2964153,-4.3051686,-3.8443835,-3.866893
RSC,1,59,0.7234465,-3.8825955,-4.4049788,-5.431225,-4.030479,-5.3414674,-5.3127503
RSC,1,60,0.41514683,-3.875139,-5.4665413,-4.2508373,-4.431951,-5.703949,-4.523707
RSC,1,61,0.58673424,-3.8298414,-5.3769274,-4.651634,-3.7184277,-5.8662186,-3.7057586
RSC,1,62,0.7353634,-3.5881338,-4.847697,-5.181641,-4.9473896,-4.492919,-3.9623172
RSC,1,63,0.6295093,-3.6934009,-4.6577134,-4.9590096,-4.699614,-4.2832966,-4.0558944
RSC,1,64,0.6333934,-3.9315507,-5.1027627,-4.8190074,-4.425604,-4.1492543,-4.3538184
RSC,1,65,0.7207405,-4.4883676,-5.0795307,-5.4603267,-3.861187,-5.5342836,-5.424261
RSC,1,66,0.7009885,-4.1239896,-5.9722614,-4.454605,-4.96624,-5.0825725,-4.1750016
RSC,1,67,0.6945387,-4.207735,-4.950202,-4.8949995,-3.7172017,-5.6206627,-4.376749
RSC,1,68,0.7442483,-4.739826,-4.5314364,-5.13214,-3.6169233,-3.6861384,-3.5635362
RSC,1,69,0.7769195,-4.4761577,-4.984043,-4.738387,-4.6367574,-4.4716063,-3.712495
RSC,1,70,0.6698425,-4.008992,-5.1027384,-4.891941,-4.603342,-5.725758,-4.953253
RSC,1,71,0.5342904,-3.7710047,-4.9170513,-4.170976,-5.134529,-4.061087,-5.260209
RSC,1,72,0.70204085,-4.164061,-5.2340784,-4.156615,-5.151738,-4.5679264,-4.507573
RSC,1,73,0.57673246,-4.070388,-5.0564938,-4.8698936,-4.4807863,-3.8483543,-4.5147247
RSC,1,74,0.83012486,-4.7475386,-4.994188,-5.271085,-4.087952,-5.6710405,-5.2705045
RSC,1,75,0.8515891,-4.427645,-5.351252,-4.1892295,-4.407189,-5.187057,-5.4449325
RSC,1,76,0.88528633,-4.321358,-5.401606,-4.3849163,-4.4078155,-5.6487546,-5.6842146
RSC,1,77,0.8334301,-4.4176564,-4.525111,-3.9322913,-4.9925985,-4.8633804,-5.465694
RSC,1,78,0.93047774,-4.423985,-5.060954,-4.8899193,-4.814784,-3.912238,-5.788045
RSC,1,79,0.8975908,-5.54347,-5.2812004,-4.517014,-3.8144271,-4.1138988,-5.2833023
RSC,1,80,0.6320943,-4.464287,-4.903315,-4.8073487,-3.523181,-4.3525395,-3.693968
RSC,1,81,0.72840875,-3.69753,-5.9900684,-4.5533223,-3.994344,-5.0886264,-5.7958374
RSC,1,82,0.9478805,-4.320591,-3.6731489,-4.592812,-4.984368,-5.785196,-5.926314
RSC,1,83,0.7812019,-3.5491624,-5.5835814,-4.6462483,-4.694032,-5.8334136,-5.8149767
RSC,1,84,0.7481861,-3.7601774,-3.846227,-5.073518,-3.767178,-5.076964,-4.4525385
RSC,1,85,0.6445175,-4.256663,-3.937498,-5.496697,-3.735425,-5.958272,-4.328459
RSC,1,86,0.81271845,-4.350718,-5.8134212,-4.283336,-3.5875585,-5.155029,-5.068841
RSC,1,87,0.563006,-3.8879986,-4.996628,-4.9486437,-4.1266184,-5.6507044,-4.682879
RSC,1,88,0.7233306,-3.5174143,-4.848023,-4.761779,-4.8866158,-5.090762,-4.68094
RSC,1,89,0.62223494,-4.0842423,-4.514992,-4.206647,-4.9551015,-4.745296,-4.830872
RSC,1,90,0.8533562,-3.807516,-4.6481504,-4.3374805,-5.691139,-3.733423,-4.690051
RSC,1,91,0.44018707,-3.9508688,-5.2711124,-4.260129,-4.5563126,-5.2538195,-3.5121343
RSC,1,92,0.60931855,-3.6338203,-4.705227,-4.8838835,-5.0005856,-4.182776,-5.303291
RSC,1,93,0.68664414,-4.0921364,-4.37912,-5.286506,-4.392483,-5.713586,-3.8604758
RSC,1,94,0.36740282,-3.7431917,-4.588434,-4.4157443,-4.1935215,-5.6285925,-3.7789574
RSC,1,95,0.85943437,-4.150265,-5.204751,-4.5099235,-5.170968,-5.3869114,-4.0927653
RSC,1,96,0.6749719,-4.115138,-4.8360887,-4.626269,-4.7232323,-4.4273973,-5.737383
RSC,1,97,0.54960185,-3.9015918,-5.423665,-3.642108,-5.104645,-4.6650386,-4.283147
RSC,1,98,0.46261096,-4.541019,-5.674741,-3.5222979,-4.8011327,-5.9974346,-4.6470294
RSC,1,99,0.5734139,-4.0137167,-4.9560876,-5.1540437,-4.4341354,-5.040853,-4.080978
RSC,2,0,0.6969072,-5.167909,-5.6745186,-4.1161423,-3.6942072,-4.878226,-4.4188347
RSC,2,1,0.80060667,-4.4734645,-5.06505,-5.743243,-4.898693,-5.0850396,-4.7855954
RSC,2,2,0.69868684,-4.1581435,-5.4736104,-4.877866,-4.8315945,-3.557121,-5.1100135
RSC,2,3,0.6395024,-4.4372,-5.5427923,-4.192203,-3.5080972,-4.10427,-4.979118
RSC,2,4,0.68507814,-4.535208,-4.57015,-5.6505847,-3.5451546,-4.0974183,-4.8241343
RSC,2,5,0.7790749,-4.3963614,-4.7326927,-4.596731,-5.301192,-4.75139,-5.153259
RSC,2,6,0.7321048,-4.6730556,-5.0262117,-5.23582,-4.412432,-5.5551095,-4.8903413
RSC,2,7,0.7108681,-4.2617774,-4.9100356,-4.798513,-5.1707335,-4.9663568,-4.9086113
RSC,2,8,0.6352291,-4.5596895,-4.8492656,-4.9626656,-4.787099,-3.8060637,-4.5555954
RSC,2,9,0.4486811,-4.4441867,-4.628998,-4.0209985,-3.7065518,-5.110436,-5.075975
RSC,2,10,0.8593942,-4.204974,-5.3967843,-4.263636,-5.307536,-5.3061395,-5.4294844
RSC,2,11,0.7392724,-4.887076,-4.8662424,-5.239634,-4.2072616,-4.966867,-4.5060573
RSC,2,12,0.6973587,-4.354947,-5.226739,-4.5225544,-4.0165205,-5.59834,-5.0249395
RSC,2,13,0.6292714,-4.4967647,-4.4186697,-5.2454724,-3.5416439,-3.8606603,-4.053837
RSC,2,14,0.82358176,-4.123429,-5.0619144,-5.84026,-4.578463,-4.7166615,-5.2220798
RSC,2,15,0.7269828,-4.057522,-5.298626,-5.60871,-4.1803412,-5.4225335,-5.9169827
RSC,2,16,0.7320394,-4.5548286,-5.166714,-5.5046573,-4.797418,-4.1365924,-4.507581
RSC,2,17,0.6935327,-4.650687,-4.2997417,-5.14171,-4.619764,-4.9291935,-3.518424
RSC,2,18,0.83049077,-4.616339,-5.263124,-5.123078,-5.1286855,-4.0307612,-5.9348426
RSC,2,19,0.58426696,-4.401264,-4.957724,-4.8905725,-4.116857,-4.4490337,-4.4763813
RSC,2,20,0.81910944,-3.7137485,-5.1322684,-5.864823,-4.1711044,-5.2917404,-4.829945
RSC,2,21,0.71064353,-4.4325094,-4.491464,-5.475733,-4.4818964,-5.9886217,-4.808027
RSC,2,22,0.7304868,-4.6424828,-4.477555,-5.364045,-4.6684327,-3.7954664,-3.5565975
RSC,2,23,0.65387213,-4.2426395,-5.63791,-4.0454774,-4.433403,-5.15924,-4.4463415
RSC,2,24,0.8573834,-4.775735,-4.8070483,-5.640775,-5.1738586,-3.742435,-3.8673413
RSC,2,25,0.8062507,-4.5235777,-5.862988,-4.31769,-3.70213,-4.8451943,-5.442641
RSC,2,26,0.8886181,-4.423806,-5.377632,-4.665458,-5.635356,-5.3436265,-5.963549
RSC,2,27,0.52026045,-4.0788403,-4.671712,-4.942673,-4.59471,-4.3169193,-3.679406
RSC,2,28,0.74854666,-4.569743,-5.4123983,-5.0869937,-4.7351995,-3.9260528,-4.8629403
RSC,2,29,0.79863715,-3.850338,-5.055946,-5.5464168,-4.614885,-4.638446,-4.1739907
RSC,2,30,0.78451926,-4.0780745,-4.570509,-5.5582037,-4.5521507,-4.9209085,-4.864482
RSC,2,31,0.6321893,-4.594313,-4.5014124,-4.9960275,-4.1288877,-5.1409206,-4.480734
RSC,2,32,0.6596408,-4.017159,-5.3289723,-4.1186705,-5.2176933,-5.8855643,-4.494399
RSC,2,33,0.8058573,-4.337545,-4.854528,-5.8399625,-4.8525677,-4.450537,-4.2246494
RSC,2,34,0.6284324,-4.522788,-4.9405766,-4.9440217,-4.579497,-3.5466945,-4.820708
RSC,2,35,0.55915195,-4.147532,-4.29046,-4.586799,-4.974855,-4.734463,-5.2694244
RSC,2,36,0.9633245,-4.612598,-5.415407,-4.251333,-5.6214547,-5.2840123,-5.536707
RSC,2,37,0.74555105,-4.271393,-4.519303,-4.442204,-5.0654254,-4.6867604,-4.913371
RSC,2,38,0.54379565,-4.1829867,-4.90388,-4.7812495,-4.013793,-4.1550884,-4.265911
